year,category,variable,units,magnitude,source,data_value,flag
2015,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,931997,R
2015,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,670046,R
2015,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14148,R
2016,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.8,R
2016,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,29.5,R
2016,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,33.6,R
2016,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.5,F
2016,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1155732,R
2016,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,671836,R
2016,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14598,R
2017,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.6,R
2017,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.6,R
2017,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.3,R
2017,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2017,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1072676,R
2017,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,714691,R
2017,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15831,R
2018,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.8,R
2018,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.5,R
2018,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.9,R
2018,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2018,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1162212,R
2018,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,763767,R
2018,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16230,R
2019,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.4,P
2019,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.4,P
2019,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35,P
2019,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,P
2019,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1196428,P
2019,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,784948,P
2019,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16494,P
2020,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,42.8,P
2020,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.6,P
2020,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,36.1,P
2020,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,P
2020,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1254840,P
2020,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,836981,P
2020,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,17349,P
2009,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2009,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2009,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3297,F
2010,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2010,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2010,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,2481,F
2011,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2011,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2011,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3195,F
2012,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2012,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2012,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5581,F
2013,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2013,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2013,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5408,F
2014,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2014,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2014,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5551,F
2015,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2015,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2015,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5179,F
2016,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2016,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2016,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4541,F
2017,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2017,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2017,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4416,F
2018,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2018,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4376,R
2019,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,P
2019,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2019,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5007,P
2020,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,P
2020,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2020,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5541,P
2007,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.9,R
2007,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,R
2007,Marine services,Gross earnings,Dollars,Thousands,LEED,65380,R
2007,Marine services,Wage and salary earners,Number,Actual,LEED,1467,R
2008,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,R
2008,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.3,R
2008,Marine services,Gross earnings,Dollars,Thousands,LEED,80915,R
2008,Marine services,Wage and salary earners,Number,Actual,LEED,1677,R
2009,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.7,R
2009,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.9,R
2009,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.7,R
2009,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2009,Marine services,GDP,Dollars,Thousands,Environmental Accounts,125559,R
2009,Marine services,Gross earnings,Dollars,Thousands,LEED,92838,R
2009,Marine services,Wage and salary earners,Number,Actual,LEED,1719,R
2010,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,R
2010,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.1,R
2010,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.9,R
2010,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2010,Marine services,GDP,Dollars,Thousands,Environmental Accounts,136986,R
2010,Marine services,Gross earnings,Dollars,Thousands,LEED,95249,R
2010,Marine services,Wage and salary earners,Number,Actual,LEED,1521,R
2011,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.3,R
2011,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.6,R
2011,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.2,R
2011,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2011,Marine services,GDP,Dollars,Thousands,Environmental Accounts,120131,R
2011,Marine services,Gross earnings,Dollars,Thousands,LEED,88071,R
2011,Marine services,Wage and salary earners,Number,Actual,LEED,1431,R
2012,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.7,R
2012,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.2,R
2012,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.3,R
2012,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2012,Marine services,GDP,Dollars,Thousands,Environmental Accounts,139137,R
2012,Marine services,Gross earnings,Dollars,Thousands,LEED,75777,R
2012,Marine services,Wage and salary earners,Number,Actual,LEED,1260,R
2013,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.6,R
2013,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.6,R
2013,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,R
2013,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2013,Marine services,GDP,Dollars,Thousands,Environmental Accounts,154022,R
2013,Marine services,Gross earnings,Dollars,Thousands,LEED,76292,R
2013,Marine services,Wage and salary earners,Number,Actual,LEED,1203,R
2014,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.5,R
2014,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.9,R
2014,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.7,R
2014,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2014,Marine services,GDP,Dollars,Thousands,Environmental Accounts,158223,R
2014,Marine services,Gross earnings,Dollars,Thousands,LEED,81033,R
2014,Marine services,Wage and salary earners,Number,Actual,LEED,1215,R
2015,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.5,R
2015,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,5.5,R
2015,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,R
2015,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2015,Marine services,GDP,Dollars,Thousands,Environmental Accounts,234404,R
2015,Marine services,Gross earnings,Dollars,Thousands,LEED,85974,R
2015,Marine services,Wage and salary earners,Number,Actual,LEED,1227,R
2016,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,R
2016,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,4.9,R
2016,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.2,R
2016,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2016,Marine services,GDP,Dollars,Thousands,Environmental Accounts,193947,R
2016,Marine services,Gross earnings,Dollars,Thousands,LEED,83211,R
2016,Marine services,Wage and salary earners,Number,Actual,LEED,1218,R
2017,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,R
2017,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,-0.2,R
2017,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.1,R
2017,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2017,Marine services,GDP,Dollars,Thousands,Environmental Accounts,-6739,R
2017,Marine services,Gross earnings,Dollars,Thousands,LEED,82962,R
2017,Marine services,Wage and salary earners,Number,Actual,LEED,1305,R
2018,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.3,R
2018,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.3,R
2018,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.5,R
2018,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Marine services,GDP,Dollars,Thousands,Environmental Accounts,96299,R
2018,Marine services,Gross earnings,Dollars,Thousands,LEED,96676,R
2018,Marine services,Wage and salary earners,Number,Actual,LEED,1293,R
2019,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,P
2019,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.9,P
2019,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.3,P
2019,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,P
2019,Marine services,GDP,Dollars,Thousands,Environmental Accounts,170368,P
2019,Marine services,Gross earnings,Dollars,Thousands,LEED,96502,P
2019,Marine services,Wage and salary earners,Number,Actual,LEED,1287,P
2020,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,P
2020,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,5,P
2020,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,3.9,P
2020,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,P
2020,Marine services,GDP,Dollars,Thousands,Environmental Accounts,225434,P
2020,Marine services,Gross earnings,Dollars,Thousands,LEED,89485,P
2020,Marine services,Wage and salary earners,Number,Actual,LEED,1212,P
2007,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,R
2007,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2007,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2,R
2007,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2007,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,,F
2007,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,28948,R
2007,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1131,R
2008,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.3,R
2008,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.1,R
2008,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,,F
2008,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,33070,R
2008,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1221,R
2009,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,R
2009,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.6,R
2009,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,R
2009,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2009,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,27078,F
2009,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,31817,R
2009,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1080,R
2010,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2010,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.8,F
2010,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,R
2010,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2010,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,35932,F
2010,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30274,R
2010,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,993,R
2011,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,R
2011,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.6,R
2011,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,R
2011,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2011,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,28580,F
2011,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30578,R
2011,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,996,R
2012,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2012,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1.2,F
2012,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,R
2012,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2012,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,51586,F
2012,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,31572,R
2012,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,996,R
2013,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2013,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1,R
2013,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,R
2013,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2013,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,43041,F
2013,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30939,R
2013,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,969,R
2014,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2014,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.2,R
2014,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,R
2014,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2014,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,10103,F
2014,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,32173,R
2014,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1002,R
2015,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,R
2015,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.8,R
2015,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,R
2015,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2015,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,33160,F
2015,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,34378,R
2015,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1014,R
2016,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,R
2016,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1.6,R
2016,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,R
2016,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2016,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,62919,F
2016,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,38663,R
2016,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1131,R
2017,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,R
2017,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,R
2017,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.2,R
2017,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2017,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,83570,F
2017,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,43754,R
2017,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1215,R
2018,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,R
2018,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,R
2018,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.2,R
2018,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,94893,R
2018,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,46726,R
2018,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1257,R
2019,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,P
2019,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.3,P
2019,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.3,P
2019,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2019,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,101817,P
2019,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,51540,P
2019,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1344,P
2020,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,P
2020,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,P
2020,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.3,P
2020,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2020,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,101903,P
2020,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,53890,P
2020,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1374,P
